Team Name,Odds - Betclic,Odds - STS,Odds - efortuna,Prob - fmd [%],Prob - elo/opta/own [%]
Termalica Bruk-Bet Nieciecza,1.25,1.25,1.3,69.8,69.8
Arka Gdynia,1.4,1.4,1.4,57.3,53.7
Motor Lublin,2.25,2.25,2.25,34.9,38.9
Piast Gliwice,3.75,3.75,3.75,8.4,10
GKS Katowice,5,5,5.5,7.5,7.1
Legia Warszawa,5,5,4.5,40.6,46.4
Pogoń Szczecin,7.5,7.5,6,16.2,21.2
Lechia Gdańsk,9,9,7.5,9.1,6.1
RKS Radomiak,9,9,9,4.4,5.3
Widzew Łódź,9,9,6,46,37.6
Korona Kielce,15,15,12,2.5,1.6
Zagłębie Lubin,25,25,20,1.2,0.8
Wisła Płock,200,200,200,0.9,0.5
Cracovia,250,250,250,0.6,0.3
Górnik Zabrze,400,400,350,0.1,0.1
Raków Częstochowa,1000,1000,1000,0.1,0.3
Lech Poznań,1500,2500,2000,0.3,0.2
Jagiellonia Białystok,1500,7500,5000,0,0
