ELO_name,Opta_name,Country,Level,Elo,Rating,predicted_Elo,error
Arsenal,Arsenal,ENG,1.0,2032.83,100.0,2053.77,-21.0
Paris Sg,Paris Saint-Germain,FRA,1.0,1987.78,96.1,1960.11,28.0
Liverpool,Liverpool,ENG,1.0,1974.46,97.1,1984.13,-10.0
Man City,Manchester City,ENG,1.0,1969.44,97.5,1993.73,-24.0
Bayern,Bayern München,GER,1.0,1967.82,98.3,2012.94,-45.0
Real Madrid,Real Madrid,ESP,1.0,1953.28,95.2,1938.5,15.0
Inter,Internazionale,ITA,1.0,1928.09,93.3,1892.87,35.0
Barcelona,Barcelona,ESP,1.0,1927.42,94.9,1931.29,-4.0
Chelsea,Chelsea,ENG,1.0,1896.62,94.3,1916.88,-20.0
Newcastle,Newcastle United,ENG,1.0,1884.93,93.5,1897.67,-13.0
Aston Villa,Aston Villa,ENG,1.0,1873.86,93.2,1890.47,-17.0
Atletico,Atlético De Madrid,ESP,1.0,1861.34,92.2,1866.45,-5.0
Bournemouth,Afc Bournemouth,ENG,1.0,1847.42,91.6,1852.04,-5.0
Dortmund,Borussia Dortmund,GER,1.0,1845.07,92.1,1864.05,-19.0
Crystal Palace,Crystal Palace,ENG,1.0,1842.23,93.3,1892.87,-51.0
Napoli,Napoli,ITA,1.0,1832.78,89.7,1806.42,26.0
Brighton,Brighton & Hove Albion,ENG,1.0,1832.26,92.1,1864.05,-32.0
Tottenham,Tottenham Hotspur,ENG,1.0,1829.71,91.3,1844.84,-15.0
Leverkusen,Bayer Leverkusen,GER,1.0,1829.62,90.6,1828.03,2.0
Man United,Manchester United,ENG,1.0,1828.63,90.9,1835.23,-7.0
Brentford,Brentford,ENG,1.0,1821.6,90.5,1825.63,-4.0
Atalanta,Atalanta,ITA,1.0,1811.46,88.8,1784.8,27.0
Roma,Roma,ITA,1.0,1804.7,88.7,1782.4,22.0
Sporting,Sporting Cp,POR,1.0,1801.66,89.1,1792.01,10.0
Milan,Milan,ITA,1.0,1796.57,89.4,1799.21,-3.0
Everton,Everton,ENG,1.0,1792.01,88.7,1782.4,10.0
Psv,Psv,NED,1.0,1790.2,88.2,1770.39,20.0
Juventus,Juventus,ITA,1.0,1787.81,87.9,1763.19,25.0
Villarreal,Villarreal,ESP,1.0,1786.77,88.4,1775.2,12.0
Benfica,Benfica,POR,1.0,1785.96,88.8,1784.8,1.0
Lille,Lille,FRA,1.0,1775.42,86.5,1729.57,46.0
Fulham,Fulham,ENG,1.0,1775.26,88.6,1780.0,-5.0
Marseille,Olympique Marseille,FRA,1.0,1767.09,86.5,1729.57,38.0
Rb Leipzig,Rb Leipzig,GER,1.0,1757.27,89.0,1789.61,-32.0
Monaco,Monaco,FRA,1.0,1755.22,86.0,1717.56,38.0
Lyon,Olympique Lyonnais,FRA,1.0,1754.57,86.1,1719.96,35.0
Forest,Nottingham Forest,ENG,1.0,1753.99,86.9,1739.17,15.0
Lazio,Lazio,ITA,1.0,1751.54,86.6,1731.97,20.0
Brugge,Club Brugge,BEL,1.0,1747.34,88.8,1784.8,-37.0
Betis,Real Betis,ESP,1.0,1746.9,87.2,1746.38,1.0
Bologna,Bologna,ITA,1.0,1744.35,86.7,1734.37,10.0
Porto,Porto,POR,1.0,1744.0,86.5,1729.57,14.0
Frankfurt,Eintracht Frankfurt,GER,1.0,1741.36,87.3,1748.78,-7.0
Bilbao,Athletic Club,ESP,1.0,1741.16,85.4,1703.15,38.0
Galatasaray,Galatasaray,TUR,1.0,1740.86,88.3,1772.79,-32.0
Burnley,Burnley,ENG,1.0,1734.79,85.2,1698.35,36.0
Leeds,Leeds United,ENG,1.0,1732.74,85.2,1698.35,34.0
St Gillis,Union Saint-Gilloise,BEL,1.0,1727.18,87.7,1758.39,-31.0
Strasbourg,Strasbourg,FRA,1.0,1726.05,84.3,1676.74,49.0
Stuttgart,Stuttgart,GER,1.0,1719.07,86.7,1734.37,-15.0
Lens,Lens,FRA,1.0,1715.3,84.8,1688.74,27.0
Feyenoord,Feyenoord,NED,1.0,1712.54,84.9,1691.14,21.0
Fiorentina,Fiorentina,ITA,1.0,1710.7,83.3,1652.72,58.0
West Ham,West Ham United,ENG,1.0,1710.39,86.1,1719.96,-10.0
Nice,Nice,FRA,1.0,1690.35,82.2,1626.3,64.0
Wolves,Wolverhampton Wanderers,ENG,1.0,1690.03,84.3,1676.74,13.0
Fenerbahce,Fenerbahçe,TUR,1.0,1689.93,85.4,1703.15,-13.0
Freiburg,Freiburg,GER,1.0,1683.51,85.3,1700.75,-17.0
Torino,Torino,ITA,1.0,1682.59,83.1,1647.92,35.0
Como,Como,ITA,1.0,1682.02,84.6,1683.94,-2.0
Celta,Celta De Vigo,ESP,1.0,1680.4,84.9,1691.14,-11.0
Werder,Werder Bremen,GER,1.0,1676.86,84.0,1669.53,7.0
Osasuna,Osasuna,ESP,1.0,1675.29,83.5,1657.52,18.0
Rayo Vallecano,Rayo Vallecano,ESP,1.0,1675.08,83.9,1667.13,8.0
Slavia Praha,Slavia Praha,CZE,1.0,1673.52,84.0,1669.53,4.0
Midtjylland,Midtjylland,DEN,1.0,1672.35,84.9,1691.14,-19.0
Olympiakos,Olympiakos Piraeus,GRE,1.0,1672.22,85.1,1695.95,-24.0
Braga,Sporting Braga,POR,1.0,1672.07,83.2,1650.32,22.0
Bodoe Glimt,Bodø / Glimt,NOR,1.0,1667.87,82.9,1643.11,25.0
Mainz,Mainz 05,GER,1.0,1667.0,83.3,1652.72,14.0
Toulouse,Toulouse,FRA,1.0,1666.88,81.9,1619.1,48.0
Espanyol,Espanyol,ESP,1.0,1665.47,82.8,1640.71,25.0
Valencia,Valencia,ESP,1.0,1658.65,82.5,1633.51,25.0
Brest,Brest,FRA,1.0,1653.72,81.4,1607.09,47.0
Rennes,Rennes,FRA,1.0,1653.08,82.1,1623.9,29.0
Sociedad,Real Sociedad,ESP,1.0,1649.71,83.0,1645.52,4.0
Sevilla,Sevilla,ESP,1.0,1647.88,82.2,1626.3,22.0
Alaves,Alavés,ESP,1.0,1643.55,82.4,1631.11,12.0
Getafe,Getafe,ESP,1.0,1643.33,82.3,1628.71,15.0
Mallorca,Mallorca,ESP,1.0,1638.74,81.8,1616.7,22.0
Hoffenheim,Hoffenheim,GER,1.0,1636.92,83.3,1652.72,-16.0
Sunderland,Sunderland,ENG,1.0,1634.46,85.8,1712.76,-78.0
