,Lech Poznan,Gornik Zabrze,Jagiellonia,Zaglebie Lubin,Wisla Plock,Raków Częstochowa,GKS Katowice,Motor Lublin,Lechia Gdansk,Cracovia Krakow,Korona Kielce,Piast Gliwice,Radomiak Radom,Pogon Szczecin,Legia Warszawa,Arka Gdynia,Widzew Łódź,Nieciecza
Lech Poznan,0.0,88.1,83.2,91.7,95.1,93.1,95.7,97.6,98.7,98.8,99.5,99.7,99.7,99.7,99.8,100.0,100.0,100.0
Gornik Zabrze,11.9,0.0,47.8,60.9,76.6,67.6,80.1,87.5,87.7,93.0,92.8,95.0,97.2,97.8,96.3,98.9,99.7,100.0
Jagiellonia,16.8,52.2,0.0,65.9,82.0,62.7,78.6,90.6,87.6,93.2,94.3,94.4,98.5,97.2,97.5,98.8,99.5,100.0
Zaglebie Lubin,8.3,39.1,34.1,0.0,71.5,55.1,64.0,78.1,84.5,81.6,90.4,88.7,92.4,93.7,92.3,98.2,99.1,100.0
Wisla Plock,4.9,23.4,18.0,28.5,0.0,35.3,46.0,61.7,61.9,69.9,78.0,75.2,86.8,88.1,84.7,93.4,96.6,100.0
Raków Częstochowa,6.9,32.4,37.3,44.9,64.7,0.0,68.5,79.8,76.9,79.3,86.8,82.8,94.2,95.3,93.4,97.8,99.5,100.0
GKS Katowice,4.3,19.9,21.4,36.0,54.0,31.5,0.0,68.6,65.2,67.6,76.9,72.9,91.5,87.2,84.7,95.3,97.4,99.9
Motor Lublin,2.4,12.5,9.4,21.9,38.3,20.2,31.4,0.0,47.1,54.6,63.0,62.7,77.4,77.4,68.1,88.4,92.4,100.0
Lechia Gdansk,1.3,12.3,12.4,15.5,38.1,23.1,34.8,52.9,0.0,55.9,61.7,65.1,76.0,82.8,70.4,91.2,91.7,99.8
Cracovia Krakow,1.2,7.0,6.8,18.4,30.1,20.7,32.4,45.4,44.1,0.0,60.3,55.6,72.4,72.6,69.7,83.2,92.5,99.8
Korona Kielce,0.5,7.2,5.7,9.6,22.0,13.2,23.1,37.0,38.3,39.7,0.0,50.6,72.5,69.2,58.9,83.9,88.4,99.7
Piast Gliwice,0.3,5.0,5.6,11.3,24.8,17.2,27.1,37.3,34.9,44.4,49.4,0.0,70.9,67.4,65.8,77.6,84.7,99.8
Radomiak Radom,0.3,2.8,1.5,7.6,13.2,5.8,8.5,22.6,24.0,27.6,27.5,29.1,0.0,54.1,39.2,68.7,72.5,98.8
Pogon Szczecin,0.3,2.2,2.8,6.3,11.9,4.7,12.8,22.6,17.2,27.4,30.8,32.6,45.9,0.0,38.2,66.0,78.2,98.3
Legia Warszawa,0.2,3.7,2.5,7.7,15.3,6.6,15.3,31.9,29.6,30.3,41.1,34.2,60.8,61.8,0.0,72.2,79.0,97.4
Arka Gdynia,0.0,1.1,1.2,1.8,6.6,2.2,4.7,11.6,8.8,16.8,16.1,22.4,31.3,34.0,27.8,0.0,55.3,93.8
Widzew Łódź,0.0,0.3,0.5,0.9,3.4,0.5,2.6,7.6,8.3,7.5,11.6,15.3,27.5,21.8,21.0,44.7,0.0,91.9
Nieciecza,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.3,0.2,1.2,1.7,2.6,6.2,8.1,0.0
