Club,Elo,xPts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Wisla Krakow,1269.66,68.13,96.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slask Wroclaw,1186.73,60.33,3.0,78.9,11.6,4.0,1.5,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wieczysta Kraków,1103.79,53.76,0.0,6.2,23.8,17.4,13.8,11.8,9.3,6.9,4.8,3.1,1.8,0.8,0.2,0.0,0.0,0.0,0.0,0.0
Chrobry Głogów,1125.9,53.7,0.1,3.8,23.1,20.6,16.3,12.7,9.3,6.5,4.2,2.2,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Miedz Legnica,1142.49,52.49,0.0,2.2,13.2,15.8,15.6,13.9,12.0,10.2,8.0,5.1,2.7,1.0,0.3,0.0,0.0,0.0,0.0,0.0
ŁKS Łódź,1139.73,52.18,0.0,3.2,10.2,13.0,14.6,14.6,13.1,11.0,8.6,6.0,3.3,1.8,0.5,0.1,0.0,0.0,0.0,0.0
Ruch Chorzów,1134.2,50.95,0.0,0.5,6.7,10.2,12.6,13.4,14.0,13.9,11.9,8.2,5.1,2.6,0.9,0.0,0.0,0.0,0.0,0.0
Pogoń Grod. Mazowiecki,1073.38,50.94,0.0,1.8,7.2,9.9,11.1,12.1,12.9,13.0,12.2,8.9,6.1,3.4,1.2,0.1,0.0,0.0,0.0,0.0
Polonia Warszawa,1145.26,49.96,0.0,0.2,3.0,6.1,8.4,10.9,13.5,14.2,13.5,11.7,9.1,6.1,3.3,0.1,0.0,0.0,0.0,0.0
Puszcza Niepołomice,1150.79,46.77,0.0,0.0,0.3,1.1,2.1,3.6,5.5,8.3,12.1,16.5,18.7,16.9,13.3,1.6,0.1,0.0,0.0,0.0
Polonia Bytom,1073.38,46.24,0.0,0.1,0.6,1.0,1.8,2.9,4.3,6.4,9.5,13.4,16.7,19.3,21.4,2.5,0.2,0.0,0.0,0.0
Stal Rzeszów,1054.02,46.04,0.0,0.0,0.2,0.6,1.3,2.3,3.7,5.7,8.9,13.8,19.2,23.0,18.8,2.5,0.1,0.0,0.0,0.0
Odra Opole,1059.55,44.57,0.0,0.0,0.1,0.2,0.7,1.1,2.3,3.9,6.2,11.1,15.8,22.5,31.2,4.7,0.3,0.0,0.0,0.0
Pogoń Siedlce,1045.73,36.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,1.3,4.5,48.5,39.7,5.3,0.4,0.0
Stal Mielec,1070.61,36.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,1.0,4.4,38.1,46.6,8.6,0.8,0.0
Znicz Pruszków,1023.61,29.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,45.2,40.7,6.1
Górnik Łęczna,1026.38,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,38.7,47.0,7.4
Tychy 71,982.14,23.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.2,11.1,86.5
