,Wisla Krakow,Slask Wroclaw,Chrobry Głogów,Pogoń Grod. Mazowiecki,Ruch Chorzów,ŁKS Łódź,Polonia Warszawa,Miedz Legnica,Wieczysta Kraków,Stal Rzeszów,Puszcza Niepołomice,Polonia Bytom,Odra Opole,Pogoń Siedlce,Stal Mielec,Znicz Pruszków,Górnik Łęczna,Tychy 71
Wisla Krakow,0.0,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slask Wroclaw,98.8,0.0,20.2,7.0,8.5,11.2,8.2,5.3,8.3,1.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Chrobry Głogów,99.6,79.8,0.0,15.2,32.4,22.6,21.3,17.0,27.0,4.2,8.5,4.1,0.3,0.0,0.0,0.0,0.0,0.0
Pogoń Grod. Mazowiecki,100.0,93.0,84.8,0.0,64.3,57.5,53.5,47.5,54.7,20.8,28.2,17.9,5.6,0.7,0.0,0.0,0.0,0.0
Ruch Chorzów,100.0,91.5,67.6,35.7,0.0,42.7,42.8,36.1,45.0,10.2,15.5,8.2,3.5,0.2,0.0,0.0,0.0,0.0
ŁKS Łódź,100.0,88.8,77.4,42.5,57.3,0.0,40.4,44.8,44.1,14.1,24.7,9.5,3.0,0.4,0.0,0.0,0.0,0.0
Polonia Warszawa,100.0,91.8,78.7,46.5,57.2,59.6,0.0,48.2,54.8,22.3,28.5,15.7,5.6,0.2,0.0,0.0,0.0,0.0
Miedz Legnica,100.0,94.7,83.0,52.5,63.9,55.2,51.8,0.0,53.5,17.2,26.9,18.1,4.6,0.8,0.1,0.0,0.0,0.0
Wieczysta Kraków,100.0,91.7,73.0,45.3,55.0,55.9,45.2,46.5,0.0,20.7,20.4,16.3,5.4,0.2,0.0,0.0,0.0,0.0
Stal Rzeszów,100.0,99.0,95.8,79.2,89.8,85.9,77.7,82.8,79.3,0.0,63.0,38.9,21.4,4.6,0.6,0.0,0.0,0.0
Puszcza Niepołomice,100.0,98.9,91.5,71.8,84.5,75.3,71.5,73.1,79.6,37.0,0.0,33.7,15.9,1.5,0.4,0.0,0.0,0.0
Polonia Bytom,100.0,99.0,95.9,82.1,91.8,90.5,84.3,81.9,83.7,61.1,66.3,0.0,28.1,7.1,1.0,0.1,0.0,0.0
Odra Opole,100.0,100.0,99.7,94.4,96.5,97.0,94.4,95.4,94.6,78.6,84.1,71.9,0.0,15.1,5.3,0.5,0.0,0.0
Pogoń Siedlce,100.0,100.0,100.0,99.3,99.8,99.6,99.8,99.2,99.8,95.4,98.5,92.9,84.9,0.0,23.9,3.4,0.8,0.0
Stal Mielec,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,99.4,99.6,99.0,94.7,76.1,0.0,18.8,5.5,0.2
Znicz Pruszków,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.5,96.6,81.2,0.0,25.4,1.8
Górnik Łęczna,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.2,94.5,74.6,0.0,9.7
Tychy 71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,98.2,90.3,0.0
