,Wisla Krakow,Slask Wroclaw,Chrobry Głogów,Miedz Legnica,Wieczysta Kraków,Pogoń Grod. Mazowiecki,Ruch Chorzów,ŁKS Łódź,Polonia Warszawa,Stal Rzeszów,Puszcza Niepołomice,Polonia Bytom,Odra Opole,Pogoń Siedlce,Stal Mielec,Górnik Łęczna,Znicz Pruszków,Tychy 71
Wisla Krakow,0.0,97.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Slask Wroclaw,3.0,0.0,94.6,96.1,91.9,96.7,98.8,94.3,99.5,99.9,100.0,99.7,100.0,100.0,100.0,100.0,100.0,100.0
Chrobry Głogów,0.1,5.4,0.0,64.1,47.7,76.6,70.0,67.1,79.5,96.2,93.3,93.8,98.5,100.0,100.0,100.0,100.0,100.0
Miedz Legnica,0.0,3.9,35.9,0.0,41.6,59.5,60.3,56.9,71.0,94.0,88.4,89.8,96.3,100.0,100.0,100.0,100.0,100.0
Wieczysta Kraków,0.0,8.1,52.3,58.4,0.0,68.9,75.6,60.1,81.1,93.2,94.8,91.6,96.0,100.0,100.0,100.0,100.0,100.0
Pogoń Grod. Mazowiecki,0.0,3.3,23.4,40.5,31.1,0.0,47.9,43.0,58.8,86.2,81.8,82.6,90.0,99.8,100.0,100.0,100.0,100.0
Ruch Chorzów,0.0,1.2,30.0,39.7,24.4,52.1,0.0,42.9,56.1,88.8,84.5,87.1,90.2,99.9,100.0,100.0,100.0,100.0
ŁKS Łódź,0.0,5.7,32.9,43.1,39.9,57.0,57.1,0.0,71.3,91.0,84.2,91.0,95.0,99.9,100.0,100.0,100.0,100.0
Polonia Warszawa,0.0,0.5,20.5,29.0,18.9,41.2,43.9,28.7,0.0,77.3,73.0,77.2,86.0,99.9,100.0,100.0,100.0,100.0
Stal Rzeszów,0.0,0.1,3.8,6.0,6.8,13.8,11.2,9.0,22.7,0.0,39.4,52.6,58.6,97.4,98.5,100.0,100.0,100.0
Puszcza Niepołomice,0.0,0.0,6.7,11.6,5.2,18.2,15.5,15.8,27.0,60.6,0.0,56.4,65.3,99.2,98.4,100.0,100.0,100.0
Polonia Bytom,0.0,0.3,6.2,10.2,8.4,17.4,12.9,9.0,22.8,47.4,43.6,0.0,61.7,97.9,98.5,100.0,100.0,100.0
Odra Opole,0.0,0.0,1.5,3.7,4.0,10.0,9.8,5.0,14.0,41.4,34.7,38.3,0.0,97.4,96.4,100.0,100.0,100.0
Pogoń Siedlce,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.1,2.6,0.8,2.1,2.6,0.0,55.4,96.5,96.6,99.9
Stal Mielec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.6,1.5,3.6,44.6,0.0,94.9,93.9,99.9
Górnik Łęczna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.1,0.0,45.9,91.5
Znicz Pruszków,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,6.1,54.1,0.0,92.6
Tychy 71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,8.5,7.4,0.0
