,Unia Skierniewice,Olimpia Grudziądz,Warta Poznań,Podhale Nowy Targ,Sandecja Nowy Sącz,Śląsk Wrocław II,Podbeskidzie,Chojniczanka Chojnice,Świt Skolwin,Hutnik Kraków,Resovia Rzeszów,Rekord Bielsko-Biała,Sokół Kleczew,Stal Stalowa Wola,Zaglebie Sosnowiec,Kalisz,ŁKS Łódź II,Jastrzębie
Unia Skierniewice,0.0,79.5,85.4,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Olimpia Grudziądz,20.5,0.0,53.2,97.9,98.1,97.6,99.3,99.5,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Warta Poznań,14.6,46.8,0.0,96.3,97.1,97.3,98.7,99.7,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Podhale Nowy Targ,0.2,2.1,3.7,0.0,60.9,41.6,59.1,73.1,79.2,93.8,96.7,97.6,99.0,98.2,100.0,100.0,100.0,100.0
Sandecja Nowy Sącz,0.0,1.9,2.9,39.1,0.0,30.7,49.0,67.1,72.2,91.8,94.5,95.3,95.8,94.7,99.9,100.0,100.0,100.0
Śląsk Wrocław II,0.0,2.4,2.7,58.4,69.3,0.0,58.2,81.3,83.7,96.2,98.5,98.0,98.6,99.3,100.0,100.0,100.0,100.0
Podbeskidzie,0.0,0.7,1.3,40.9,51.0,41.8,0.0,73.3,76.9,93.0,94.9,94.9,96.5,96.3,99.9,100.0,100.0,100.0
Chojniczanka Chojnice,0.0,0.5,0.3,26.9,32.9,18.7,26.7,0.0,65.1,82.2,88.6,86.8,91.6,91.4,99.6,100.0,100.0,100.0
Świt Skolwin,0.0,0.2,0.2,20.8,27.8,16.3,23.1,34.9,0.0,72.6,75.0,75.0,84.7,79.3,99.0,100.0,100.0,100.0
Hutnik Kraków,0.0,0.0,0.0,6.2,8.2,3.8,7.0,17.8,27.4,0.0,50.3,51.1,65.2,57.0,93.5,99.9,100.0,100.0
Resovia Rzeszów,0.0,0.0,0.0,3.3,5.5,1.5,5.1,11.4,25.0,49.7,0.0,48.1,61.8,54.0,95.5,99.2,99.9,100.0
Rekord Bielsko-Biała,0.0,0.0,0.0,2.4,4.7,2.0,5.1,13.2,25.0,48.9,51.9,0.0,68.4,55.1,97.1,99.9,100.0,100.0
Sokół Kleczew,0.0,0.0,0.0,1.0,4.2,1.4,3.5,8.4,15.3,34.8,38.2,31.6,0.0,43.0,91.1,99.7,99.8,100.0
Stal Stalowa Wola,0.0,0.0,0.0,1.8,5.3,0.7,3.7,8.6,20.7,43.0,46.0,44.9,57.0,0.0,92.7,99.8,99.9,100.0
Zaglebie Sosnowiec,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,1.0,6.5,4.5,2.9,8.9,7.3,0.0,80.3,94.9,100.0
Kalisz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.1,0.3,0.2,19.7,0.0,75.7,100.0
ŁKS Łódź II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,5.1,24.3,0.0,100.0
Jastrzębie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
