Club,Elo,xPts,Top 1 %,Top 1 Odds,Top 2 %,Top 2 Odds,Top 3 %,Top 3 Odds,Top 4 %,Top 4 Odds
Lech Poznan,1517.88,57.33,68.6,1.46,86.7,1.15,93.7,1.07,96.8,1.03
Jagiellonia,1467.09,52.41,10.6,9.43,32.8,3.05,50.4,1.98,65.2,1.53
Gornik Zabrze,1447.34,52.28,8.7,11.49,30.8,3.25,50.2,1.99,65.2,1.53
Zaglebie Lubin,1410.66,50.82,4.9,20.41,18.1,5.52,33.6,2.98,48.4,2.07
Raków Częstochowa,1489.66,50.51,3.3,30.3,14.3,6.99,29.0,3.45,43.2,2.31
GKS Katowice,1421.94,48.56,1.6,62.5,5.9,16.95,12.9,7.75,22.3,4.48
Wisla Plock,1379.62,48.11,1.3,76.92,5.0,20.0,11.4,8.77,20.1,4.98
Lechia Gdansk,1416.3,46.73,0.4,250.0,2.1,47.62,5.6,17.86,10.7,9.35
Motor Lublin,1396.55,46.56,0.4,250.0,1.9,52.63,5.2,19.23,9.9,10.1
Cracovia Krakow,1407.83,45.86,0.2,500.0,1.0,100.0,3.1,32.26,6.8,14.71
Korona Kielce,1393.73,44.95,0.1,1000.0,0.6,166.67,1.9,52.63,3.8,26.32
Piast Gliwice,1405.01,44.68,0.0,N/A,0.3,333.33,1.5,66.67,3.7,27.03
Legia Warszawa,1438.87,43.39,0.0,N/A,0.1,1000.0,0.5,200.0,1.4,71.43
Pogon Szczecin,1396.55,42.62,0.0,N/A,0.1,1000.0,0.5,200.0,1.2,83.33
Radomiak Radom,1382.44,42.53,0.0,N/A,0.1,1000.0,0.3,333.33,1.0,100.0
Arka Gdynia,1351.4,40.64,0.0,N/A,0.0,N/A,0.1,1000.0,0.2,500.0
Widzew Łódź,1368.33,39.24,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
Nieciecza,1303.43,32.37,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
