Club,Elo,xPts,Top 1 %,Top 1 Odds,Top 3 %,Top 3 Odds
Nieciecza,1303.43,32.35,87.2,1.15,98.4,1.02
Widzew Łódź,1368.33,39.19,6.7,14.93,62.0,1.61
Arka Gdynia,1351.4,40.62,3.9,25.64,48.5,2.06
Legia Warszawa,1438.87,43.36,0.8,125.0,15.7,6.37
Radomiak Radom,1382.44,42.51,0.7,142.86,23.4,4.27
Pogon Szczecin,1396.55,42.63,0.5,200.0,22.9,4.37
Piast Gliwice,1405.01,44.73,0.1,1000.0,10.1,9.9
Korona Kielce,1393.73,44.96,0.1,1000.0,6.8,14.71
Jagiellonia,1467.09,52.4,0.0,N/A,0.0,N/A
Lech Poznan,1517.88,57.38,0.0,N/A,0.0,N/A
Cracovia Krakow,1407.83,45.83,0.0,N/A,5.5,18.18
Motor Lublin,1396.55,46.55,0.0,N/A,2.6,38.46
Lechia Gdansk,1416.3,46.78,0.0,N/A,2.4,41.67
Wisla Plock,1379.62,48.12,0.0,N/A,0.8,125.0
GKS Katowice,1421.94,48.58,0.0,N/A,0.6,166.67
Raków Częstochowa,1489.66,50.55,0.0,N/A,0.1,1000.0
Zaglebie Lubin,1410.66,50.8,0.0,N/A,0.1,1000.0
Gornik Zabrze,1447.34,52.28,0.0,N/A,0.0,N/A
