Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Górnik Łęczna,1131.77,30.28,7803,64,367,78.0,78.7,82.3,1.28,1.27,1.21
Tychy 71,1143.06,31.98,6673,253,284,66.7,69.3,72.1,1.5,1.44,1.39
Znicz Pruszków,1115.97,32.59,6279,559,3,62.8,68.4,68.4,1.59,1.46,1.46
Stal Mielec,1143.06,33.42,5484,457,161,54.8,59.4,61.0,1.82,1.68,1.64
Puszcza Niepołomice,1192.74,40.54,975,17,308,9.8,9.9,13.0,10,10,7.69
Odra Opole,1127.26,40.66,830,105,230,8.3,9.4,11.6,12,11,8.58
Pogoń Siedlce,1161.13,43.33,340,13,123,3.4,3.5,4.8,29,28,21
Wieczysta Kraków,1165.64,48.29,26,0,26,0.3,0.3,0.5,385,385,192
ŁKS Łódź,1199.51,48.08,30,12,14,0.3,0.4,0.6,333,238,179
Ruch Chorzów,1183.71,48.77,16,8,9,0.2,0.2,0.3,625,417,303
Miedz Legnica,1201.77,50.5,9,2,3,0.1,0.1,0.1,1111,909,714
Stal Rzeszów,1125.0,48.63,13,13,0,0.1,0.3,0.3,769,385,385
Polonia Warszawa,1201.77,52.0,7,4,0,0.1,0.1,0.1,1429,909,909
Wisla Krakow,1359.83,73.44,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Pogoń Grod. Mazowiecki,1167.9,53.01,1,1,0,0.0,0.0,0.0,10000,5000,5000
Polonia Bytom,1174.67,52.4,0,2,0,0.0,0.0,0.0,N/A,5000,5000
Slask Wroclaw,1251.45,54.59,1,1,1,0.0,0.0,0.0,10000,5000,3333
Chrobry Głogów,1165.64,51.63,2,0,1,0.0,0.0,0.0,5000,5000,3333
