Club,Elo,xPts,Top 1 %,Top 1 Odds,Top 2 %,Top 2 Odds,Top 6 %,Top 6 Odds
Wisla Krakow,1266.75,68.97,98.5,1.02,99.9,1.0,100.0,1.0
Slask Wroclaw,1182.11,58.72,1.2,83.33,65.1,1.54,97.4,1.03
Chrobry Głogów,1120.03,55.16,0.3,333.33,14.6,6.85,84.4,1.18
Stal Rzeszów,1046.67,47.15,0.0,N/A,0.1,1000.0,8.3,12.05
Górnik Łęczna,1018.45,27.44,0.0,N/A,0.0,N/A,0.0,N/A
Znicz Pruszków,1015.63,30.71,0.0,N/A,0.0,N/A,0.0,N/A
Stal Mielec,1063.6,34.82,0.0,N/A,0.0,N/A,0.0,N/A
Pogoń Siedlce,1038.2,38.56,0.0,N/A,0.0,N/A,0.0,N/A
Odra Opole,1052.31,42.8,0.0,N/A,0.0,N/A,0.7,142.86
Polonia Bytom,1066.42,46.19,0.0,N/A,0.2,500.0,6.4,15.62
Puszcza Niepołomice,1145.42,48.22,0.0,N/A,0.2,500.0,15.2,6.58
Pogoń Grod. Mazowiecki,1066.42,50.9,0.0,N/A,2.3,43.48,39.6,2.53
Miedz Legnica,1136.96,51.1,0.0,N/A,1.7,58.82,41.9,2.39
Polonia Warszawa,1139.78,51.36,0.0,N/A,3.1,32.26,42.9,2.33
Wieczysta Kraków,1097.46,51.85,0.0,N/A,3.9,25.64,50.0,2.0
ŁKS Łódź,1134.14,52.12,0.0,N/A,4.4,22.73,52.8,1.89
Ruch Chorzów,1128.49,52.61,0.0,N/A,4.5,22.22,60.6,1.65
Tychy 71,973.31,22.0,0.0,N/A,0.0,N/A,0.0,N/A
