Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + Wins in TB,% Wins + all TB
Arsenal,2037,21.45,9993,5,1,99.9,100.0,100.0
Bayern München,1988,18.21,8724,612,121,87.2,93.4,94.6
Paris Saint Germain,1982,17.6,7945,1020,0,79.4,89.6,89.6
Real Madrid,1934,17.44,7794,560,577,77.9,83.5,89.3
Inter,1917,16.14,5688,1204,362,56.9,68.9,72.5
Manchester City,1956,15.63,5224,647,854,52.2,58.7,67.2
Chelsea,1912,15.43,4712,1114,456,47.1,58.3,62.8
Borussia Dortmund,1855,14.96,3919,1192,196,39.2,51.1,53.1
Atalanta,1795,14.37,2935,43,1308,29.4,29.8,42.9
Atletico Madrid,1875,14.24,2524,449,1250,25.2,29.7,42.2
Liverpool,1918,14.19,2255,283,1472,22.6,25.4,40.1
Barcelona,1917,13.5,1609,1092,319,16.1,27.0,30.2
Bayer Leverkusen,1874,13.31,1500,10,1019,15.0,15.1,25.3
Sporting CP,1814,13.13,1280,475,395,12.8,17.5,21.5
Tottenham,1809,12.75,976,455,447,9.8,14.3,18.8
Newcastle,1856,12.54,797,787,70,8.0,15.8,16.5
Galatasaray,1718,11.78,417,53,505,4.2,4.7,9.8
PSV Eindhoven,1813,11.45,360,390,19,3.6,7.5,7.7
Napoli,1824,11.39,335,33,335,3.4,3.7,7.0
Juventus,1793,11.32,123,173,310,1.2,3.0,6.1
Qarabag,1567,9.93,59,12,56,0.6,0.7,1.3
Marseille,1787,9.71,45,107,55,0.4,1.5,2.1
Monaco,1710,9.43,26,12,77,0.3,0.4,1.2
Union St. Gilloise,1741,9.35,21,0,87,0.2,0.2,1.1
Pafos,1555,7.98,9,2,7,0.1,0.1,0.2
Athletic Club,1719,7.02,0,0,0,0.0,0.0,0.0
Club Brugge KV,1740,8.67,0,0,1,0.0,0.0,0.0
Eintracht Frankfurt,1748,7.74,0,0,1,0.0,0.0,0.0
FC Copenhagen,1603,5.92,0,0,0,0.0,0.0,0.0
Benfica,1782,6.7,0,0,0,0.0,0.0,0.0
Slavia Praha,1689,6.24,0,0,0,0.0,0.0,0.0
Bodo/Glimt,1639,3.72,0,0,0,0.0,0.0,0.0
Olympiakos Piraeus,1683,6.87,0,0,0,0.0,0.0,0.0
Villarreal,1777,6.22,0,0,0,0.0,0.0,0.0
Kairat Almaty,1303,1.93,0,0,0,0.0,0.0,0.0
Ajax,1567,2.93,0,0,0,0.0,0.0,0.0
