Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Arsenal,2037,21.42,9991,4,1,99.9,100.0,100.0,1.0,1.0,1.0
Bayern München,1988,18.19,8760,594,99,87.6,93.5,94.5,1.14,1.07,1.06
Paris Saint Germain,1982,17.6,7985,987,0,79.8,89.7,89.7,1.25,1.11,1.11
Real Madrid,1934,17.43,7862,544,560,78.6,84.1,89.7,1.27,1.19,1.12
Inter,1917,16.2,5771,1225,333,57.7,70.0,73.3,1.73,1.43,1.36
Manchester City,1956,15.61,5213,612,884,52.1,58.2,67.1,1.92,1.72,1.49
Chelsea,1912,15.47,4796,1088,456,48.0,58.8,63.4,2.09,1.7,1.58
Borussia Dortmund,1855,14.91,3803,1214,259,38.0,50.2,52.8,2.63,1.99,1.9
Atalanta,1795,14.36,2878,33,1267,28.8,29.1,41.8,3.47,3.44,2.39
Atletico Madrid,1875,14.24,2496,457,1358,25.0,29.5,43.1,4.01,3.39,2.32
Liverpool,1918,14.2,2376,275,1438,23.8,26.5,40.9,4.21,3.77,2.45
Barcelona,1917,13.52,1662,990,345,16.6,26.5,30.0,6.02,3.77,3.34
Bayer Leverkusen,1874,13.3,1473,4,1077,14.7,14.8,25.5,6.79,6.77,3.92
Sporting CP,1814,13.1,1231,474,397,12.3,17.0,21.0,8.12,5.87,4.76
Tottenham,1809,12.77,948,464,485,9.5,14.1,19.0,11,7.08,5.27
Newcastle,1856,12.6,843,874,70,8.4,17.2,17.9,12,5.82,5.6
Galatasaray,1718,11.74,409,58,506,4.1,4.7,9.7,24,21,10
Napoli,1824,11.37,315,32,346,3.2,3.5,6.9,32,29,14
PSV Eindhoven,1813,11.47,313,436,40,3.1,7.5,7.9,32,13,13
Juventus,1793,11.33,120,142,359,1.2,2.6,6.2,83,38,16
Qarabag,1567,9.9,38,7,63,0.4,0.4,1.1,263,222,93
Marseille,1787,9.72,36,98,57,0.4,1.3,1.9,278,75,52
Monaco,1710,9.42,35,6,78,0.4,0.4,1.2,286,244,84
Union St. Gilloise,1741,9.32,24,0,85,0.2,0.2,1.1,417,417,92
Pafos,1555,7.96,3,1,12,0.0,0.0,0.2,3333,2500,625
Athletic Club,1719,7.02,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Club Brugge KV,1740,8.68,0,0,2,0.0,0.0,0.0,N/A,N/A,5000
Eintracht Frankfurt,1748,7.74,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
FC Copenhagen,1603,5.96,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Benfica,1782,6.7,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Slavia Praha,1689,6.24,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Bodo/Glimt,1639,3.73,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Olympiakos Piraeus,1683,6.86,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Villarreal,1777,6.24,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Kairat Almaty,1303,1.95,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Ajax,1567,2.92,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
